id,left,top,right,bottom,row_index,col_index,id_2,distance,angle,x,y,start_point
"1","380000.0000","2044900.0000","380100.0000","2044900.0000","0","0","1","0","90.000000000000","380000.000000000","2044900.000",1
"1","380000.0000","2044900.0000","380100.0000","2044900.0000","0","0","1","10","90.000000000000","380010.000000000","2044900.000",0
"1","380000.0000","2044900.0000","380100.0000","2044900.0000","0","0","1","20","90.000000000000","380020.000000000","2044900.000",0
"1","380000.0000","2044900.0000","380100.0000","2044900.0000","0","0","1","30","90.000000000000","380030.000000000","2044900.000",0
"1","380000.0000","2044900.0000","380100.0000","2044900.0000","0","0","1","40","90.000000000000","380040.000000000","2044900.000",0
"1","380000.0000","2044900.0000","380100.0000","2044900.0000","0","0","1","50","90.000000000000","380050.000000000","2044900.000",0
"1","380000.0000","2044900.0000","380100.0000","2044900.0000","0","0","1","60","90.000000000000","380060.000000000","2044900.000",0
"1","380000.0000","2044900.0000","380100.0000","2044900.0000","0","0","1","70","90.000000000000","380070.000000000","2044900.000",0
"1","380000.0000","2044900.0000","380100.0000","2044900.0000","0","0","1","80","90.000000000000","380080.000000000","2044900.000",0
"1","380000.0000","2044900.0000","380100.0000","2044900.0000","0","0","1","90","90.000000000000","380090.000000000","2044900.000",0
"1","380000.0000","2044900.0000","380100.0000","2044900.0000","0","0","1","100","90.000000000000","380100.000000000","2044900.000",0
"2","380100.0000","2044900.0000","380100.0000","2044895.0000","0","1","2","0","180.000000000000","380100.000000000","2044900.000",0
"2","380100.0000","2044900.0000","380100.0000","2044895.0000","0","1","2","5","180.000000000000","380100.000000000","2044895.000",0
"3","380100.0000","2044895.0000","380000.0000","2044895.0000","1","0","3","0","270.000000000000","380100.000000000","2044895.000",0
"3","380100.0000","2044895.0000","380000.0000","2044895.0000","1","0","3","10","270.000000000000","380090.000000000","2044895.000",0
"3","380100.0000","2044895.0000","380000.0000","2044895.0000","1","0","3","20","270.000000000000","380080.000000000","2044895.000",0
"3","380100.0000","2044895.0000","380000.0000","2044895.0000","1","0","3","30","270.000000000000","380070.000000000","2044895.000",0
"3","380100.0000","2044895.0000","380000.0000","2044895.0000","1","0","3","40","270.000000000000","380060.000000000","2044895.000",0
"3","380100.0000","2044895.0000","380000.0000","2044895.0000","1","0","3","50","270.000000000000","380050.000000000","2044895.000",0
