id,left,top,right,bottom,row_index,col_index,id_2,distance,angle,x,y,start_point
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","0","267.364635365507","380396.959158909","2044836.893",1
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","0.1","267.364635365507","380396.859264671","2044836.888",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","0.2","267.364635365507","380396.759370433","2044836.884",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","0.3","267.364635365507","380396.659476195","2044836.879",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","0.4","267.364635365507","380396.559581957","2044836.875",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","0.5","267.364635365507","380396.459687719","2044836.870",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","0.6","267.364635365507","380396.359793481","2044836.865",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","0.7","267.364635365507","380396.259899243","2044836.861",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","0.8","267.364635365507","380396.160005005","2044836.856",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","0.9","267.364635365507","380396.060110767","2044836.852",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","1","357.405915778551","380396.009544847","2044836.901",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","1.1","357.405915778551","380396.005018863","2044837.001",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","1.2","357.405915778551","380396.000492879","2044837.101",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","1.3","357.405915778551","380395.995966894","2044837.201",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","1.4","357.405915778551","380395.99144091","2044837.301",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","1.5","357.405915778551","380395.986914925","2044837.401",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","1.6","357.405915778551","380395.982388941","2044837.500",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","1.7","357.405915778551","380395.977862956","2044837.600",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","1.8","357.405915778551","380395.973336972","2044837.700",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","1.9","357.405915778551","380395.968810988","2044837.800",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","2","357.405915778551","380395.964285003","2044837.900",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","2.1","357.405915778551","380395.959759019","2044838.000",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","2.2","357.405915778551","380395.955233034","2044838.100",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","2.3","357.405915778551","380395.95070705","2044838.200",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","2.4","357.405915778551","380395.946181065","2044838.300",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","2.5","357.405915778551","380395.941655081","2044838.400",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","2.6","357.405915778551","380395.937129096","2044838.499",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","2.7","357.405915778551","380395.932603112","2044838.599",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","2.8","357.405915778551","380395.928077128","2044838.699",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","2.9","357.405915778551","380395.923551143","2044838.799",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","3","357.405915778551","380395.919025159","2044838.899",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","3.1","357.405915778551","380395.914499174","2044838.999",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","3.2","357.405915778551","380395.90997319","2044839.099",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","3.3","357.405915778551","380395.905447205","2044839.199",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","3.4","357.405915778551","380395.900921221","2044839.299",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","3.5","357.405915778551","380395.896395237","2044839.399",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","3.6","357.405915778551","380395.891869252","2044839.498",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","3.7","357.405915778551","380395.887343268","2044839.598",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","3.8","357.405915778551","380395.882817283","2044839.698",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","3.9","357.405915778551","380395.878291299","2044839.798",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","4","357.405915778551","380395.873765314","2044839.898",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","4.1","357.405915778551","380395.86923933","2044839.998",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","4.2","357.405915778551","380395.864713345","2044840.098",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","4.3","357.405915778551","380395.860187361","2044840.198",0
"13","380394.8519","2044886.4549","380396.0719","2044825.4549","0","6","1","4.4","357.405915778551","380395.855661377","2044840.298",0
