Latitude,Longitude
18.56573319,73.82105874
18.56573319,73.82110626
18.56573319,73.82115378
18.56573319,73.82120129
18.56577823,73.82105874
18.56577823,73.82110626
18.56577823,73.82115378
18.56577823,73.82120129
18.56582328,73.82105874
18.56582328,73.82110626
18.56582328,73.82115378
18.56582328,73.82120129
